
亞洲經典唱片,#genre#

亚洲经典,http://goldfm.cn:8000/goldfm

试播,#genre#
Now爆谷,https://gdfire2.67890123.cn:8088/live/nowbg.m3u8
Now星影,https://gdfire2.67890123.cn:8088/live/nowxy.m3u8
TVB功夫,http://v2h.jdshipin.com/asia_action1/1asia_action.stream/chunklist_w101.m3u8
无线星河,http://php.jdshipin.com:8880/TVOD/iptv.php?id=xinghe
星河台,http://php.jdshipin.com/smt.php?id=Xinhe
星河台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=xinghe
TVB星河台,http://v2h.jdshipin.com/xinghe_1/xinghe_1.stream/chunklist_w106.m3u8
千禧经典,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbc
美亚电影 粤语,http://ali.hlspull.yximgs.com/live/9305412d0d0509679738ca4ef52c97af.flv
美亚电影 国语,http://ali.hlspull.yximgs.com/live/d814d4ed610927728e53a747c16b7454.flv
星河频道 粤语,http://ali.hlspull.yximgs.com/live/f62fb3b76ed2a0c36940f235f46bba79.flv
星河频道 国语,http://ali.hlspull.yximgs.com/live/1b15ad5eadc07cf9ea9dfd13d0112586.flv
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
经典邵氏,http://lxajh.top/tv/douyu.php?id=4246519
经典影视台,http://huanqiuzhibo.cn/manifest/douyu.php?id=6091425
星光综合台,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv
斗鱼电影141,http://zzy789.xyz/douyu1.php?id=7623292
經典港剧,http://dns.yiandrive.com:15907/douyu/5261342
緯來電影,http://122.117.71.103:8554/http/61.222.53.250:8081/hls/69/811/ch35.m3u8
緯來電影,http://108.181.20.197/livehttpplay?channel_id=20199
龍華電影,http://122.117.71.103:8555/http/61.222.53.250:8068/hls/10/80/cstv10.m3u8
AXN 频道,http://122.117.71.103:8557/http/61.222.53.250:8081/hls/71/813/ch43.m3u8
CINEM AX,http://122.117.71.103:8558/http/61.222.53.250:8081/hls/71/813/ch42.m3u8
AMC 電影,http://122.117.71.103:8559/http/61.222.53.250:8092/upload/115/AMC_TS-1111_1.m3u8
好莱坞电影,http://108.181.20.197/livehttpplay?channel_id=20062
东森洋片,http://108.181.20.197/livehttpplay?channel_id=20080
龙祥时代电影,http://108.181.20.197/livehttpplay?channel_id=20114

龙华日韩,http://108.181.20.197/livehttpplay?channel_id=20081
龙华偶像,http://108.181.20.197/livehttpplay?channel_id=20023
